id,name,producer,country,style,abv,harmonize_csv,grapes_csv,body,acidity,region,avg_rating,n_ratings
100062,"Origem Merlot","Casa Valduga",Brazil,Red,13.0,"Beef,Lamb,Veal,Grilled,Pizza,Pasta",Merlot,Full-bodied,Medium,"Vale dos Vinhedos",4.119,21
100191,"Reserva Chardonnay",Aurora,Brazil,White,13.0,"Rich Fish,Seafood,Risotto,Poultry,Vegetarian",Chardonnay,Medium-bodied,Medium,"Serra Gaúcha",3.318,22
101847,"Dona Antonia Porto Reserva Tawny","Porto Ferreira",Portugal,Dessert,20.0,"Appetizer,Sweet Dessert,Blue Cheese","Touriga Nacional,Touriga Franca,Tinta Barroca,Tinta Amarela","Very full-bodied",High,Porto,3.81,21
102055,"Fine Ruby Port",Sandeman,Portugal,Dessert,19.5,"Sweet Dessert,Cake,Fruit,Soft Cheese","Tinta Amarela,Tinta Barroca,Touriga Franca,Tinta Roriz,Tinto Cão","Very full-bodied",Medium,Porto,3.58,25
102079,"Maré Alta","Fonte Pequena",Portugal,White,10.0,"Fish,Shellfish,Vegetarian,Appetizer,Snack","Loureiro,Alvarinho,Arinto","Very light-bodied",High,"Vinho Verde",4.278,9
102645,"Terras de Felgueiras Espumante de Vinho Verde Seco Branco","Cooperativa Agricola de Felgueiras",Portugal,Sparkling,11.5,"Appetizer,Rich Fish,Shellfish,Soft Cheese","Loureiro,Arinto,Trajadura,Azal Branco",Medium-bodied,Medium,"Vinho Verde",3.6,5
102902,"Pátria Alentejo Selection Reserva",Carmim,Portugal,Red,14.5,"Beef,Lamb,Veal,Game Meat,Maturated Cheese","Alicante Bouschet,Aragonez,Trincadeira",Full-bodied,Medium,Alentejo,4.3,5
103003,"Além do Rio Branco",Azueira,Portugal,White,9.5,"Pasta,Grilled,Shellfish,Lean Fish","Malvasia,Seara Nova,Arinto,Fernão Pires",Medium-bodied,High,Lisboa,4.071,7
103070,"Calda Bordaleza Tinto",Campolargo,Portugal,Red,14.0,"Beef,Lamb,Game Meat,Poultry","Cabernet Sauvignon,Merlot,Petit Verdot",Full-bodied,Medium,Bairrada,4.071,7
103433,"Regional Tinto",Mundus,Portugal,Red,13.0,"Beef,Lamb,Game Meat,Poultry","Aragonez,Syrah/Shiraz",Full-bodied,Medium,Lisboa,3.8,5
103435,"Lacrau Colheita Field Blend","Secret Spot Wines",Portugal,Red,13.5,"Beef,Pasta,Lamb,Game Meat","Touriga Franca,Touriga Nacional,Tinta Roriz,Tinta Barroca",Full-bodied,Medium,Douro,3.857,7
103667,"Maria Izabel Rosé","Quinta Maria Izabel",Portugal,"Rosé",13.0,"Beef,Tomato Dishes,Maturated Cheese,Hard Cheese","Tinta Roriz,Tinta Francisca,Touriga Nacional",Medium-bodied,High,Douro,4.0,8
105585,"Terras de Basto Tinto","Quinta de Soutelos",Portugal,Red,10.5,"Beef,Lamb,Game Meat,Poultry","Azal Tinto,Vinhão,Padeiro",Full-bodied,Medium,"Vinho Verde",3.375,8
105599,"Primata Touriga Nacional",Niepoort,Portugal,Red,11.2,"Poultry,Light Stews,Salad,Snack","Tinta Amarela,Touriga Franca,Tinta Roriz,Tinto Cão,Touriga Nacional",Full-bodied,Medium,Douro,3.571,7
105748,"Porto Colheita","Quinta do Portal",Portugal,Dessert,20.0,"Sweet Dessert,Cake,Fruit,Soft Cheese","Touriga Nacional,Touriga Franca,Tinta Roriz","Very full-bodied",Medium,Porto,3.833,9
105911,"White Reserve Porto",Bulas,Portugal,Dessert,19.5,"Aperitif,Sweet Dessert,Blue Cheese","Rabigato,Viosinho,Malvasia Fina,Côdega de Larinho","Very full-bodied",Medium,Douro,3.571,7
107214,"Black Label Nik Weis Saar Riesling","Weingut Nik Weis-St. Urbans-Hof",Germany,White,11.5,"Pork,Shellfish,Spicy Food,Poultry,Cured Meat",Riesling,Medium-bodied,High,Mosel,3.786,7
108974,"Felix Lemberger Trocken",Wachtstetter,Germany,Red,13.0,"Beef,Veal,Lamb,Barbecue",Lemberger,Medium-bodied,High,"Württemberg",3.833,6
109954,"Merlot Reserve Trocken",Aldinger,Germany,Red,13.5,"Pork,Beef,Game Meat,Maturated Cheese",Merlot,Medium-bodied,Medium,"Württemberg",4.25,6
